symbol,name,cap,close,score
MWL,Mangalam Worldwide Ltd.,Microcap,375.75,6
NACLIND,NACL Industries Limited,Microcap,220.76,6
NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,Midcap,1162.0,6
NAVINFLUOR,Navin Fluorine International Limited,Smallcap,7687.0,6
NAZARA,Nazara Technologies Limited,Microcap,303.1,6
NELCO,Nelco Ltd,Microcap,929.8,6
NEOGEN,Neogen Chemicals Limited,Microcap,2024.9,6
NEULANDLAB,Neuland Laboratories Limited.,Smallcap,18579.0,6
NGLFINE,NGL Fine Chem Ltd.,Microcap,3107.5,6
NH,Narayana Hrudayalaya Limited,Midcap,1971.7,6
NHPC,NHPC Limited,Midcap,81.33,6
NINSYS,NINtec Systems Limited,Microcap,824.85,6
NITINSPIN,Nitin Spinners Ltd.,Microcap,572.0,6
NORTHARC,Northern Arc Capital Ltd.,Microcap,298.1,6
NPST,Network People Services Technologies Limited,Microcap,1618.6,6
NRBBEARING,NRB Bearings Ltd.,Microcap,444.0,6
NUVAMA,Nuvama Wealth Management Limited,Smallcap,1806.4,6
NYKAA,FSN E-Commerce Ventures Limited,Midcap,310.85,6
OBEROIRLTY,OBEROI REALTY LIMITED,Midcap,1769.2,6
OFSS,Oracle Financial Services Software Limited,Midcap,10775.5,6
OLECTRA,OLECTRA GREENTECH LIMITED,Microcap,1499.6,6
ORCHPHARMA,Orchid Pharma Limited,Microcap,972.8,6
ORIENTHOT,Oriental Hotels Ltd.,Microcap,140.88,6
PAGEIND,Page Industries Ltd.,Midcap,41370.0,6
PANACEABIO,Panacea Biotec Ltd.,Microcap,565.85,6
PARAS,Paras Defence and Space Technologies Limited,Microcap,1289.05,6
PARKHOSPS,PARK MEDI WORLD LIMITED,Microcap,299.3,6
PAYTM,One 97 Communications Limited,Midcap,1141.5,6
PGHL,PROCTER & GAMBLE HEALTH LIMITED,Microcap,6326.5,6
PGIL,Pearl Global Industries Limited,Microcap,2015.6,6
PHOENIXLTD,The Phoenix Mills Ltd.,Midcap,1948.6,6
PIRAMALFIN,Piramal Finance Limited,Midcap,2164.1,6
PIXTRANS,Pix Transmissions Ltd.,Microcap,1835.6,6
PNBGILTS,PNB Gilts Ltd,Microcap,92.27,6
PNBHOUSING,PNB Housing Finance Limited,Smallcap,1038.4,6
POCL,Pondy Oxides & Chemicals Limited,Microcap,1374.9,6
POONAWALLA,POONAWALLA FINCORP LIMITED,Midcap,441.05,6
PPL,Prakash Pipes Limited,Microcap,323.58,6
PRECOT,Precot Ltd.,Microcap,745.8,6
PREMEXPLN,Premier Explosives Ltd.,Microcap,805.95,6
PRESTIGE,Prestige Estates Projects Limited,Midcap,1564.6,6
PRICOLLTD,Pricol Limited,Microcap,602.3,6
