week_ending,sym,close,score,qual
2025-01-17,MEDICAMEQ,476.9,0,False
2025-01-24,MEDICAMEQ,468.6,0,False
2025-01-31,MEDICAMEQ,458.4,0,False
2025-02-07,MEDICAMEQ,512.2,6,False
2025-02-14,MEDICAMEQ,429.95,0,False
2025-02-21,MEDICAMEQ,551.95,6,False
2025-02-28,MEDICAMEQ,510.55,4,False
2025-03-07,MEDICAMEQ,481.35,0,False
2025-03-14,MEDICAMEQ,432.0,0,False
2025-03-21,MEDICAMEQ,492.6,5,False
2025-03-28,MEDICAMEQ,480.0,4,False
2025-04-04,MEDICAMEQ,500.4,6,False
2025-04-11,MEDICAMEQ,492.8,5,False
2025-04-18,MEDICAMEQ,473.8,0,False
2025-04-25,MEDICAMEQ,446.15,0,False
2025-05-02,MEDICAMEQ,434.05,0,False
2025-05-09,MEDICAMEQ,420.45,0,False
2025-05-16,MEDICAMEQ,450.25,3,False
2025-05-23,MEDICAMEQ,429.55,0,False
2025-05-30,MEDICAMEQ,428.2,0,False
2025-06-06,MEDICAMEQ,424.1,0,False
2025-06-13,MEDICAMEQ,412.75,0,False
2025-06-20,MEDICAMEQ,402.6,0,False
2025-06-27,MEDICAMEQ,414.85,2,False
2025-07-04,MEDICAMEQ,402.1,0,False
2025-07-11,MEDICAMEQ,391.7,0,False
2025-07-18,MEDICAMEQ,406.05,3,False
2025-07-25,MEDICAMEQ,388.05,0,False
2025-08-01,MEDICAMEQ,386.5,0,False
2025-08-08,MEDICAMEQ,364.25,0,False
2025-08-15,MEDICAMEQ,353.0,0,False
2025-08-22,MEDICAMEQ,351.55,0,False
2025-08-29,MEDICAMEQ,345.25,0,False
2025-09-05,MEDICAMEQ,350.4,2,False
2025-09-12,MEDICAMEQ,344.05,0,False
2025-09-19,MEDICAMEQ,334.0,0,False
2025-09-26,MEDICAMEQ,303.55,0,False
2025-10-03,MEDICAMEQ,307.95,1,False
2025-10-10,MEDICAMEQ,309.95,2,False
2025-10-17,MEDICAMEQ,317.55,3,False
2025-10-24,MEDICAMEQ,353.6,4,False
2025-10-31,MEDICAMEQ,376.35,5,False
2025-11-07,MEDICAMEQ,405.75,6,False
2025-11-14,MEDICAMEQ,410.65,6,False
2025-11-21,MEDICAMEQ,400.8,5,False
2025-11-28,MEDICAMEQ,411.6,6,False
2025-12-05,MEDICAMEQ,381.1,2,False
2025-12-12,MEDICAMEQ,405.1,6,False
2025-12-19,MEDICAMEQ,396.1,5,False
2025-12-26,MEDICAMEQ,377.7,0,False
2026-01-02,MEDICAMEQ,379.3,3,False
2026-01-09,MEDICAMEQ,390.25,5,False
2026-01-16,MEDICAMEQ,373.6,0,False
2026-01-23,MEDICAMEQ,350.85,0,False
2026-01-30,MEDICAMEQ,342.1,0,False
2026-02-06,MEDICAMEQ,349.55,0,False
2026-02-13,MEDICAMEQ,353.3,2,False
2026-02-20,MEDICAMEQ,316.1,0,False
2026-02-27,MEDICAMEQ,301.2,0,False
2026-03-06,MEDICAMEQ,291.2,0,False
2026-03-13,MEDICAMEQ,272.15,0,False
2026-03-20,MEDICAMEQ,253.6,0,False
2026-03-27,MEDICAMEQ,238.8,0,False
2026-04-03,MEDICAMEQ,228.97,0,False
2026-04-10,MEDICAMEQ,241.19,2,False
2026-04-17,MEDICAMEQ,258.22,3,False
2026-04-24,MEDICAMEQ,257.66,2,False
2026-05-01,MEDICAMEQ,254.53,3,False
2026-05-08,MEDICAMEQ,294.3,4,False
2026-05-15,MEDICAMEQ,277.45,3,False
2026-05-22,MEDICAMEQ,269.55,0,False
2026-05-29,MEDICAMEQ,271.55,0,False
2026-06-05,MEDICAMEQ,245.65,0,False
2026-06-12,MEDICAMEQ,229.55,0,False
2026-06-19,MEDICAMEQ,228.9,1,False
2026-06-26,MEDICAMEQ,241.55,3,False
2024-07-05,MEDPLUS,669.3,0,False
2024-07-12,MEDPLUS,673.5,1,False
2024-07-19,MEDPLUS,671.85,0,False
2024-07-26,MEDPLUS,668.4,0,False
2024-08-02,MEDPLUS,673.4,0,False
2024-08-09,MEDPLUS,644.25,0,False
2024-08-16,MEDPLUS,642.2,0,False
2024-08-23,MEDPLUS,635.0,0,False
2024-08-30,MEDPLUS,679.4,5,False
2024-09-06,MEDPLUS,730.85,6,False
2024-09-13,MEDPLUS,707.65,4,False
